iter	Logloss
0	0.6838237364
1	0.6716861224
2	0.6604106182
3	0.6497397757
4	0.6410275871
5	0.6305298245
6	0.6223618935
7	0.612354633
8	0.6025606023
9	0.5935324601
10	0.5854933813
11	0.5775764592
12	0.5676013888
13	0.5601189021
14	0.5506664917
15	0.541724559
16	0.5352477618
17	0.5275769606
18	0.5200207656
19	0.5129110503
20	0.5058448331
21	0.4999872574
22	0.4927058409
23	0.4865022758
24	0.4802361509
25	0.4742019944
26	0.4682917778
27	0.4622777123
28	0.4574416957
29	0.4522527592
30	0.4464761209
31	0.4402408239
32	0.4350395484
33	0.4307222907
34	0.4264026784
35	0.4222447818
36	0.4168050551
37	0.4121073151
38	0.4078523169
39	0.4046647786
40	0.4006619076
41	0.3965410453
42	0.3927023666
43	0.3889196852
44	0.3855118531
45	0.3823742673
46	0.3778404018
47	0.3743486946
48	0.3701005203
49	0.3664460189
50	0.3633184806
51	0.3595583112
52	0.3559282645
53	0.3520783034
54	0.3484028259
55	0.3452024312
56	0.3414310699
57	0.3379136628
58	0.3338859493
59	0.3301103035
60	0.3265716957
61	0.3243475364
62	0.3222258306
63	0.3199878935
64	0.3171689631
65	0.3146911004
66	0.3115992799
67	0.3088558743
68	0.3061440899
69	0.3038421718
70	0.3012360283
71	0.2993973869
72	0.2971035318
73	0.294453325
74	0.2917967314
75	0.2889826415
76	0.2870044363
77	0.2849033721
78	0.2818849102
79	0.2801607494
80	0.277773624
81	0.2755974602
82	0.274349586
83	0.2729156715
84	0.2709982844
85	0.2690385368
86	0.2673276806
87	0.2651750479
88	0.2633454884
89	0.2618745121
90	0.2602502216
91	0.2578342293
92	0.2559705142
93	0.2539261796
94	0.2532167233
95	0.2524473348
96	0.2510115697
97	0.249185144
98	0.2482054407
99	0.2466730154
100	0.2456857292
101	0.2442281891
102	0.2425642419
103	0.2413015895
104	0.2398515403
105	0.2386780161
106	0.2371315857
107	0.2359918856
108	0.234643782
109	0.2333785931
110	0.2322379213
111	0.2307335582
112	0.2296150757
113	0.2278298711
114	0.2269543439
115	0.2256461747
116	0.2246923608
117	0.2234516127
118	0.2222784776
119	0.2207784224
120	0.2200421502
121	0.2193567743
122	0.2183111536
123	0.2172691931
124	0.2159040727
125	0.2147507388
126	0.2133541549
127	0.2121584577
128	0.2116021722
129	0.2107137819
130	0.2095234225
131	0.2088288576
132	0.2079017809
