iter	Passed	Remaining
0	173	173727
1	178	88824
2	181	60463
3	186	46387
4	190	37861
5	194	32199
6	198	28180
7	202	25164
8	206	22786
9	210	20880
10	215	19413
11	220	18131
12	224	17043
13	229	16151
14	233	15315
15	237	14588
16	242	14014
17	246	13458
18	250	12913
19	252	12388
20	256	11936
21	258	11477
22	260	11056
23	262	10661
24	263	10291
25	265	9951
26	267	9635
27	269	9358
28	271	9085
29	273	8830
30	274	8589
31	276	8363
32	278	8149
33	279	7950
34	281	7754
35	283	7585
36	284	7411
37	286	7244
38	287	7083
39	288	6928
40	289	6782
41	291	6642
42	292	6508
43	293	6378
44	294	6253
45	295	6133
46	296	6018
47	298	5912
48	299	5821
49	301	5723
50	302	5625
51	303	5531
52	304	5441
53	305	5354
54	306	5271
55	307	5190
56	309	5113
57	310	5038
58	311	4966
59	312	4903
60	314	4840
61	315	4778
62	316	4714
63	318	4652
64	319	4592
65	320	4533
66	321	4477
67	322	4422
68	323	4368
69	324	4316
70	326	4274
71	328	4229
72	329	4180
73	330	4134
74	331	4088
75	332	4044
76	333	4000
77	334	3958
78	335	3916
79	337	3875
80	338	3835
81	339	3796
82	340	3762
83	341	3728
84	343	3692
85	344	3657
86	345	3623
87	346	3589
88	347	3556
89	348	3524
90	349	3492
91	350	3461
92	351	3430
93	352	3401
94	354	3374
95	355	3346
96	356	3321
97	357	3294
98	359	3268
99	360	3241
100	360	3213
101	362	3187
102	363	3162
103	364	3138
104	365	3113
105	366	3090
106	367	3066
107	368	3044
108	369	3021
109	370	2999
110	371	2979
111	373	2958
112	374	2937
113	375	2916
114	376	2897
115	377	2877
116	378	2857
117	379	2838
118	380	2819
119	382	2805
120	383	2787
121	384	2769
122	385	2751
123	387	2734
124	388	2717
125	389	2700
126	390	2683
127	391	2666
128	392	2650
129	393	2634
130	394	2618
131	395	2603
132	397	2589
133	398	2574
134	399	2559
135	400	2544
136	401	2530
137	402	2516
138	403	2501
139	404	2487
140	406	2473
141	407	2459
142	408	2446
143	409	2434
144	410	2421
145	411	2409
146	413	2397
147	414	2384
148	415	2372
149	416	2361
150	417	2348
151	418	2336
152	419	2324
153	420	2312
154	421	2300
155	423	2288
156	424	2278
157	425	2267
158	426	2255
159	427	2244
160	428	2234
161	429	2223
162	431	2213
163	432	2203
164	433	2192
165	434	2182
166	435	2171
167	436	2161
168	437	2152
169	438	2143
170	440	2133
171	441	2123
172	442	2114
173	443	2104
174	444	2095
175	445	2086
176	446	2077
177	448	2068
178	449	2060
179	450	2051
180	451	2042
181	452	2034
182	453	2025
183	454	2016
184	455	2008
185	456	1999
186	458	1991
187	459	1983
188	460	1974
189	461	1967
190	462	1959
191	463	1951
192	464	1943
193	466	1937
194	467	1931
195	469	1925
196	470	1918
197	471	1911
